title,media-type,format,platform,publisher,gameid,creator,date,objectid,filename,language,description,franchise,genre,rights,youtube-link,internetarchivelink,,,,,,,,
Sega Sports World Series Baseball 2K2 Disc,Disc,image/jpeg,Sega Dreamcast,Sega,Sega Sports World Series Baseball 2K2,Sega of America ,2001,dcsswsb2k2d.jpg,DcSSWSB2K2d.jpg,English,This is the optical storage disc for Sega Sports World Series Baseball 2K2. The game is stored on this disc and loaded into the system to play.,Sega Sports ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=mUI-xjEOUT0,,https://www.youtube.com/watch?v=mUI-xjEOUT0,,,,,,,
Sega Marine Fishing Disc,Disc,image/jpeg,Sega Dreamcast,Sega,Sega Marine Fishing ,Sega of America ,2000,dcsmfd.jpg,DcSMFd.jpg,English,This is the optical storage disc for Sega Marine Fishing. The game is stored on this disc and loaded into the system to play.,Sega Fishing ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=VcxBIWb3a1g,,https://www.youtube.com/watch?v=VcxBIWb3a1g,,,,,,,
Sonic Adventure 2 Disc,Disc,image/jpeg,Sega Dreamcast,Sega,Sonic Adventure 2 ,Sega of America;Yuji Uekawa,2001,dcsa2d.jpg,DcSA2d.jpg,English,This is the optical storage disc for Sonic Adventure 2. The game is stored on this disc and loaded into the system to play.,Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,,,,,
Phantasy Star Online Ver. 2 Disc,Disc,image/jpeg,Sega Dreamcast,Sega,Phantasy Star Online Ver. 2 ,Sega of America,2001,dcpsod.jpg,DcPSOd.jpg,English,This is the optical storage disc for Phantasy Star Online Ver. 2. The game is stored on this disc and loaded into the system to play.,Phantasy Star ,Massively Multiplayer Online RPG,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=XcLXOMNIsqE; https://www.youtube.com/watch?v=cnaRFgT8WjY ,,https://www.youtube.com/watch?v=XcLXOMNIsqE, https://www.youtube.com/watch?v=cnaRFgT8WjY ,,,,,,
Sonic Adventure Manual ,Manual ,application/pdf,Sega Dreamcast,Sega,Sonic Adventure ,Monika Hudgins;Chieko Nakamura;Makoto Nishino;Yoichi Takahashi;Kaoru Ichigozaki;Yuji Uekawa,1999,dcsam.pdf,DcSAm.pdf,English,"This is the instruction manual for Sonic Adventure. It lists the general premise and story of the game, how to control, objectives and tips for how to play.",Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,,Sonic the Hedgehog ,Platform,Action,Material protected under copyright, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=A2wzZt9SVuA,
Sega Sports World Series Baseball 2K2 Manual ,Manual ,application/pdf,Sega Dreamcast,Sega,Sega Sports World Series Baseball 2K2,Keith M. Kolmos ,2001,dcsswsb2k2m.pdf,DcSSWSB2K2m.pdf,English,"This is the instruction manual for Sega Sports World Series Baseball 2K2. It lists the general premise and story of the game, how to control, objectives and tips for how to play.",Sega Sports ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=mUI-xjEOUT0,,https://www.youtube.com/watch?v=mUI-xjEOUT0,,,,,,,
Sega Marine Fishing Manual ,Manual ,application/pdf,Sega Dreamcast,Sega,Sega Marine Fishing ,Makoto Nishino;Kaoru Ichigozaki ,2000,dcsmfm.pdf,DcSMFm.pdf,English,"This is the instruction manual for Sega Marine Fishing. It lists the general premise and story of the game, how to control, objectives and tips for how to play.",Sega Fishing ,Sports,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=VcxBIWb3a1g,, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=VcxBIWb3a1g,,,,,,
Sonic Adventure 2 Manual ,Manual ,application/pdf,Sega Dreamcast,Sega,Sonic Adventure 2 ,Makoto Nishino;Yuji Uekawa,2001,dcsa2m.pdf,DcSA2m.pdf,English,"This is the instruction manual for Sonic Adventure 2 . It lists the general premise and story of the game, how to control, objectives and tips for how to play.",Sonic the Hedgehog ,Platform;Action,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,, Using under fair use, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=KYvX3VVzUys,,,,,
Phantasy Star Online Ver. 2 Manual ,Manual ,application/pdf,Sega Dreamcast,Sega,Phantasy Star Online Ver. 2 ,Sega of America ,2001,dcpsom.pdf,DcPSOm.pdf,English,"This is the instruction manual for Phantasy Star Online Ver. 2. It lists the general premise and story of the game, how to control, objectives and tips for how to play. Since this is an updated version of the base Phantasy Star Online game, it is missing large portions of information that would be helpful for first time players. ",Phantasy Star ,Massively Multiplayer Online RPG,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=XcLXOMNIsqE; https://www.youtube.com/watch?v=cnaRFgT8WjY ,,https://www.youtube.com/watch?v=XcLXOMNIsqE, https://www.youtube.com/watch?v=cnaRFgT8WjY ,,,,,,
Super Smash Bros. Melee Box Art,Box Art,application/pdf,Nintendo GameCube,Nintendo;Hal Laboratory,Super Smash Bros. Melee,Nintendo of America,2001,gcssbmb.pdf,GcSSBMb.pdf,English,This is the packaging and accompanying box artwork for Super Smash Bros. Melee. It lists general information and features of the game intended to entice consumers as well as listing requirements and system features present for the game. This box also holds the game and instruction manual.,Super Smash Bros,Mascot Fighter,Material protected under copyright; Using under fair use; if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=tLaQhGNFUCg,, if this material is considered damaging or offensive to the copyright owner this material will be taken down upon request. ,https://www.youtube.com/watch?v=tLaQhGNFUCg,,,,,,
